"Datum","Senaste","Öppen","Högst","Lägst","Vol.","+/- %"
"2026-09-06","78.543,5","79.832,2","80.529,7","78.204,6","122,12K","-1,60%"
"2026-08-30","79.823,0","78.230,8","82.178,6","76.293,5","359,22K","2,04%"
"2026-08-23","78.230,7","77.076,3","81.330,3","75.679,1","422,44K","1,50%"
"2026-08-16","77.076,9","63.080,0","79.306,4","62.707,2","527,50K","22,19%"
"2026-08-09","63.080,0","64.953,6","65.402,4","62.553,7","285,96K","-2,88%"
"2026-08-02","64.953,6","62.814,7","65.373,2","62.290,2","283,21K","3,41%"
"2026-07-26","62.814,7","64.367,5","65.693,2","62.280,6","341,33K","-2,41%"
"2026-07-19","64.367,5","64.849,0","66.933,8","63.734,5","367,01K","-0,70%"
"2026-07-12","64.823,6","63.815,4","65.556,5","61.815,7","392,50K","1,57%"
"2026-07-05","63.818,6","63.135,3","64.673,1","61.332,2","367,81K","1,08%"
"2026-06-28","63.135,3","60.011,9","63.441,5","57.832,5","411,82K","5,21%"
"2026-06-21","60.011,2","64.263,2","65.555,3","58.131,4","444,43K","-6,68%"
"2026-06-14","64.306,4","64.432,0","67.276,4","62.269,7","365,55K","-0,19%"
"2026-06-07","64.432,0","60.881,5","64.691,4","60.749,2","455,26K","5,83%"
"2026-05-31","60.883,4","73.848,0","74.256,7","59.159,3","661,20K","-17,56%"
"2026-05-24","73.847,9","76.724,4","78.041,9","72.531,5","343,06K","-3,77%"
"2026-05-17","76.738,0","78.204,6","78.578,0","74.346,5","328,85K","-1,82%"
"2026-05-10","78.156,8","80.689,2","82.431,7","77.680,4","378,56K","-3,12%"
"2026-05-03","80.677,8","78.684,9","82.791,3","78.083,0","372,55K","2,53%"
"2026-04-26","78.684,9","77.623,6","79.461,7","74.981,4","333,44K","1,37%"
"2026-04-19","77.623,2","75.708,0","79.446,3","73.763,4","354,74K","2,53%"
"2026-04-12","75.708,0","73.047,9","78.268,4","70.554,8","455,48K","3,64%"
"2026-04-05","73.046,1","67.298,1","73.765,4","66.624,2","391,86K","8,54%"
"2026-03-29","67.297,5","66.365,7","69.261,5","65.015,2","354,85K","1,41%"
"2026-03-22","66.364,3","68.886,7","71.978,6","65.578,2","446,54K","-3,65%"
"2026-03-15","68.880,5","71.203,5","75.991,2","68.643,6","450,34K","-3,26%"
"2026-03-08","71.203,1","67.317,1","73.904,1","65.641,7","522,20K","5,86%"
"2026-03-01","67.258,9","66.990,7","74.031,0","65.093,1","607,11K","0,39%"
"2026-02-22","66.995,0","68.003,0","69.819,3","62.650,1","552,90K","-1,49%"
"2026-02-15","68.011,1","69.797,0","70.961,2","65.653,5","398,55K","-2,54%"
"2026-02-08","69.784,4","69.318,8","72.204,2","65.138,1","520,54K","0,67%"
"2026-02-01","69.319,5","78.720,6","79.355,0","60.187,0","1,03M","-11,95%"
"2026-01-25","78.726,5","89.254,7","90.520,9","75.993,4","525,26K","-11,80%"
"2026-01-18","89.254,9","95.141,4","95.522,6","87.285,1","329,68K","-6,19%"
"2026-01-11","95.141,4","90.485,1","97.838,4","90.134,5","391,85K","5,15%"
"2026-01-04","90.485,1","90.621,9","94.745,2","89.347,3","356,73K","-0,15%"
"2025-12-28","90.621,9","87.853,0","90.913,5","86.827,7","307,43K","3,15%"
"2025-12-21","87.850,8","88.364,1","90.457,5","86.448,4","276,28K","-0,58%"
"2025-12-14","88.364,0","90.248,3","90.472,3","84.490,5","372,50K","-2,09%"
"2025-12-07","90.249,3","89.209,8","94.591,4","87.747,6","359,67K","1,17%"
"2025-11-30","89.209,8","90.804,1","94.077,0","83.858,1","454,98K","-1,75%"
"2025-11-23","90.800,5","84.729,0","92.942,6","84.729,0","436,71K","7,18%"
"2025-11-16","84.721,6","95.587,6","96.575,1","80.697,7","730,77K","-11,37%"
"2025-11-09","95.587,6","102.311,3","107.461,3","94.126,2","538,83K","-6,57%"
"2025-11-02","102.311,1","110.097,1","111.229,8","99.001,8","573,97K","-7,08%"
